station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,error_reason,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
AG_AT,Huyện An Phú - An Giang,An Giang,An Phú,10.8333,105.0833,2026-03-12 00:48:34,openmeteo,high,2026-03-12T07:45,,25.3,34.8,22.6,27.9,86,94,38,69.3,1012.6,1015.4,1007.4,1011.4,1.9,13.3,0.8,6.4,202,101.3,0.0,0.9,0.1,0.1,2.1,62,100,0,56.0,24.1,24.1,20.6,24.0,15
AG_CL,Huyện Châu Phú - An Giang,An Giang,Châu Phú,10.5667,105.1667,2026-03-12 00:48:35,openmeteo,high,2026-03-12T07:45,,25.5,34.9,23.2,27.8,84,92,38,69.1,1012.5,1015.3,1007.6,1011.5,2.8,14.7,0.0,6.7,130,115.1,0.0,0.2,0.1,0.0,0.6,78,100,36,62.2,24.1,24.1,8.1,24.0,5
AG_CP,Huyện Châu Thành - An Giang,An Giang,Châu Thành,10.45,105.25,2026-03-12 00:48:35,openmeteo,high,2026-03-12T07:45,,25.1,34.6,22.5,27.3,87,95,38,72.6,1012.5,1015.3,1007.8,1011.5,2.4,15.9,0.4,7.3,117,115.7,0.0,0.1,0.1,0.0,0.4,77,93,20,63.9,24.1,24.1,8.1,24.0,15
AG_CT,Huyện Chợ Mới - An Giang,An Giang,Chợ Mới,10.5333,105.3833,2026-03-12 00:48:36,openmeteo,high,2026-03-12T07:45,,25.2,34.6,22.8,27.5,86,94,38,71.6,1012.5,1015.3,1007.7,1011.4,2.0,15.6,1.5,7.2,135,119.4,0.0,0.3,0.1,0.0,0.8,77,94,7,62.3,24.1,24.1,22.7,24.1,15
AG_PT,Huyện Phú Tân - An Giang,An Giang,Phú Tân,10.65,105.2833,2026-03-12 00:48:36,openmeteo,high,2026-03-12T07:45,,25.4,35.1,22.7,27.7,86,93,38,69.9,1012.5,1015.3,1007.5,1011.4,1.6,13.7,0.0,6.3,153,116.6,0.0,0.1,0.1,0.0,0.2,81,100,15,61.9,24.1,24.1,12.1,23.9,15
AG_TV,Huyện Thoại Sơn - An Giang,An Giang,Thoại Sơn,10.2667,105.2667,2026-03-12 00:48:36,openmeteo,high,2026-03-12T07:45,,25.2,34.5,23.0,27.4,85,94,41,72.1,1012.4,1015.2,1007.8,1011.5,5.1,16.6,1.6,8.3,98,103.1,0.0,0.8,0.1,0.1,2.1,70,85,0,59.5,24.1,24.1,22.1,24.1,5
AG_TX,Huyện Tri Tôn - An Giang,An Giang,Tri Tôn,10.4167,105.0,2026-03-12 00:48:36,openmeteo,high,2026-03-12T07:45,,25.4,34.3,23.3,27.7,84,93,40,71.1,1012.4,1015.2,1007.8,1011.5,3.8,15.8,0.4,7.4,107,106.8,0.0,0.2,0.1,0.0,0.6,74,89,0,62.5,24.1,24.1,24.1,24.1,5
AG_TN,Huyện Tịnh Biên - An Giang,An Giang,Tịnh Biên,10.55,105.0,2026-03-12 00:48:36,openmeteo,high,2026-03-12T07:45,,25.8,34.9,23.5,28.1,82,91,38,68.8,1012.5,1015.3,1007.8,1011.6,4.2,15.5,0.4,7.5,110,107.2,0.0,0.1,0.1,0.0,0.6,77,87,34,65.2,24.1,24.1,24.1,24.1,5
AG_CD,Thành phố Châu Đốc - An Giang,An Giang,Châu Đốc,10.7,105.1167,2026-03-12 00:48:35,openmeteo,high,2026-03-12T07:45,,25.3,34.8,22.9,27.8,85,94,39,69.5,1012.5,1015.3,1007.4,1011.4,1.3,13.9,0.5,6.3,146,101.5,0.0,0.8,0.1,0.1,1.9,71,100,19,58.3,24.1,24.1,20.6,24.0,5
AG_LX,Thành phố Long Xuyên - An Giang,An Giang,Long Xuyên,10.3865,105.4351,2026-03-12 00:48:34,openmeteo,high,2026-03-12T07:45,,25.3,34.8,22.9,27.4,85,94,38,71.1,1012.4,1015.2,1007.7,1011.4,3.3,17.6,1.1,8.0,103,110.8,0.0,0.3,0.1,0.1,1.4,70,94,0,61.6,24.1,24.1,22.7,24.1,5
